id,score,total_errors,popularity
53718410,-1,1,unpopular
27341462,-1,1,unpopular
28837841,-1,8,unpopular
39186770,-1,1,unpopular
38612503,-1,1,unpopular
47626667,-1,3,unpopular
51853065,-1,9,unpopular
43436950,-1,1,unpopular
51790766,-1,6,unpopular
16154319,-1,2,unpopular
31152230,-1,1,unpopular
28283338,-1,20,unpopular
7390845,-1,1,unpopular
7889558,-1,1,unpopular
26928140,-1,1,unpopular
5663651,-1,7,unpopular
15721901,-1,1,unpopular
39338175,-1,2,unpopular
38338304,-1,2,unpopular
24155046,-1,15,unpopular
48563633,-1,13,unpopular
11552623,-1,3,unpopular
28392733,-1,9,unpopular
45302344,-1,2,unpopular
40109242,-1,5,unpopular
20509836,-1,1,unpopular
46231756,-1,2,unpopular
30439118,-1,1,unpopular
53104303,-1,2,unpopular
20756555,-1,14,unpopular
20756002,-1,1,unpopular
60376042,-1,2,unpopular
8225710,-1,2,unpopular
30564092,-1,4,unpopular
47826159,-1,1,unpopular
54456897,-1,1,unpopular
51221323,-1,1,unpopular
47475949,-1,5,unpopular
39295678,-1,1,unpopular
12780368,-1,5,unpopular
22858348,-1,1,unpopular
9175465,-1,8,unpopular
12960685,-1,4,unpopular
47750029,-1,7,unpopular
33885717,-1,6,unpopular
29076048,-1,9,unpopular
31580926,-1,5,unpopular
18329414,-1,5,unpopular
55205646,-1,3,unpopular
45580593,-1,1,unpopular
22626233,-1,2,unpopular
41592567,-1,2,unpopular
40431756,-1,3,unpopular
9254954,-1,3,unpopular
28405008,-1,11,unpopular
16744797,-1,5,unpopular
24350566,-1,2,unpopular
17761708,-1,3,unpopular
23695801,-1,1,unpopular
12296354,-1,1,unpopular
23549873,-1,5,unpopular
21163733,-1,8,unpopular
27095486,-1,4,unpopular
43903270,-1,3,unpopular
33115344,-1,37,unpopular
57558075,-1,1,unpopular
15244376,-1,9,unpopular
33342384,-1,5,unpopular
45410069,-1,13,unpopular
59698820,-1,1,unpopular
41808028,-1,1,unpopular
35500295,-1,4,unpopular
14384696,-1,6,unpopular
46883784,-1,2,unpopular
36222897,-1,1,unpopular
27601942,-1,2,unpopular
18355109,-1,1,unpopular
27766303,-1,2,unpopular
44226833,-1,1,unpopular
44131475,-1,1,unpopular
41892205,-1,12,unpopular
39038869,-1,1,unpopular
31024543,-1,2,unpopular
14168340,-1,9,unpopular
3342689,-1,1,unpopular
18101865,-1,11,unpopular
34976817,-1,5,unpopular
60569250,-1,3,unpopular
35522181,-1,7,unpopular
14524085,-1,1,unpopular
27992188,-1,1,unpopular
61101754,-1,1,unpopular
41443653,-1,3,unpopular
37589449,-1,12,unpopular
44281299,-1,32,unpopular
24057957,-1,6,unpopular
21475563,-1,6,unpopular
36384101,-1,1,unpopular
28267176,-1,2,unpopular
23805880,-1,1,unpopular
32093180,-1,4,unpopular
22260408,-1,5,unpopular
30973644,-1,2,unpopular
27814497,-1,39,unpopular
17886350,-1,1,unpopular
23301409,-1,4,unpopular
27865373,-1,8,unpopular
22546449,-1,11,unpopular
34881130,-1,2,unpopular
49165910,-1,4,unpopular
31673839,-1,1,unpopular
20831608,-1,7,unpopular
