id,score,total_errors,popularity
42642481,-4,1,unpopular
15198647,-4,21,unpopular
42096207,-4,19,unpopular
31484726,-4,7,unpopular
43610957,-4,4,unpopular
56074022,-4,11,unpopular
36294021,-4,13,unpopular
46752423,-4,40,unpopular
48225853,-4,12,unpopular
51196224,-4,3,unpopular
46483445,-4,1,unpopular
24339599,-4,58,unpopular
50525584,-4,9,unpopular
29895555,-4,9,unpopular
39158746,-4,4,unpopular
31537373,-4,21,unpopular
13580723,-4,4,unpopular
35173459,-4,8,unpopular
31179791,-4,15,unpopular
7602096,-4,44,unpopular
44744042,-4,1,unpopular
29768354,-4,87,unpopular
51672505,-4,3,unpopular
27486427,-4,7,unpopular
38561462,-4,11,unpopular
23239724,-4,1,unpopular
45764973,-4,9,unpopular
27144253,-4,3,unpopular
45458201,-4,21,unpopular
36882089,-4,7,unpopular
17276319,-4,2,unpopular
30940339,-4,17,unpopular
41675525,-4,9,unpopular
51244799,-4,2,unpopular
9385619,-4,16,unpopular
18425761,-4,9,unpopular
47725432,-4,8,unpopular
23429507,-4,8,unpopular
21091611,-4,19,unpopular
38226370,-4,5,unpopular
24416086,-4,3,unpopular
20410196,-4,34,unpopular
53454798,-4,4,unpopular
38012930,-4,27,unpopular
31590030,-4,55,unpopular
43108463,-4,3,unpopular
31460485,-4,98,unpopular
34152906,-4,9,unpopular
25508079,-4,4,unpopular
42942324,-4,15,unpopular
46027137,-4,2,unpopular
40769650,-4,14,unpopular
23608433,-4,3,unpopular
30198343,-4,4,unpopular
46234472,-4,15,unpopular
41255050,-4,12,unpopular
48642026,-4,41,unpopular
44224994,-4,1,unpopular
34530253,-4,1,unpopular
29387453,-4,6,unpopular
45548995,-4,16,unpopular
31574348,-4,4,unpopular
34167510,-4,31,unpopular
48988016,-4,2,unpopular
39566767,-4,2,unpopular
48197308,-4,4,unpopular
52902836,-4,3,unpopular
38134696,-4,3,unpopular
38709866,-4,1,unpopular
49474457,-4,13,unpopular
48622915,-4,4,unpopular
32535948,-4,20,unpopular
58986711,-4,9,unpopular
41519168,-4,3,unpopular
38368218,-4,3,unpopular
32558652,-4,22,unpopular
39634833,-4,12,unpopular
46811619,-4,1,unpopular
23895852,-4,1,unpopular
42550423,-4,14,unpopular
48031593,-4,3,unpopular
47108467,-4,61,unpopular
48264398,-4,13,unpopular
42661916,-4,13,unpopular
16564474,-4,10,unpopular
38385275,-4,5,unpopular
30286832,-4,15,unpopular
40422929,-4,3,unpopular
50196909,-4,1,unpopular
27848804,-4,24,unpopular
40582184,-4,7,unpopular
46148544,-4,16,unpopular
39955432,-4,14,unpopular
15525191,-4,2,unpopular
25598836,-4,4,unpopular
21284751,-4,12,unpopular
40654950,-4,3,unpopular
33333641,-4,8,unpopular
30153955,-4,4,unpopular
42801300,-4,7,unpopular
31901770,-4,1,unpopular
44874321,-4,2,unpopular
49794120,-4,1,unpopular
29845539,-4,27,unpopular
36831426,-4,4,unpopular
28293837,-4,14,unpopular
25717336,-4,6,unpopular
18719999,-4,3,unpopular
48803778,-4,21,unpopular
22814686,-4,2,unpopular
45048826,-4,3,unpopular
34627992,-4,31,unpopular
49497549,-4,28,unpopular
31650511,-4,27,unpopular
47101361,-4,15,unpopular
44702983,-4,5,unpopular
43147337,-4,23,unpopular
45755189,-4,16,unpopular
26810542,-4,39,unpopular
32715153,-4,58,unpopular
40815113,-4,12,unpopular
33064237,-4,6,unpopular
39221368,-4,57,unpopular
15826926,-4,13,unpopular
49215005,-4,8,unpopular
47038633,-4,42,unpopular
55258108,-4,23,unpopular
43839966,-4,2,unpopular
48864533,-4,12,unpopular
48036773,-4,7,unpopular
43690525,-4,1,unpopular
34320155,-4,2,unpopular
48877898,-4,7,unpopular
43534458,-4,7,unpopular
23820776,-4,10,unpopular
55095645,-4,10,unpopular
39700654,-4,125,unpopular
30634284,-4,1,unpopular
44694127,-4,5,unpopular
61957125,-4,42,unpopular
30524016,-4,26,unpopular
41436787,-4,11,unpopular
42531737,-4,8,unpopular
43624963,-4,4,unpopular
42462340,-4,8,unpopular
14324429,-4,14,unpopular
30391131,-4,3,unpopular
